ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"P34-300-HNSB-DEMO","3/4in Steel Pipe 30in Hvy Nat SB","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-300-SBEP-DEMO","3/4in Steel Pipe 30in Std Black EP","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745476",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.5875,Item,,,,,"","","","","","","","","","","","","T4W-SL","Tee_4-Way Std","Size","1/2 inch","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Tee 4-Way_1/2in Blk PC_Std_Loose",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-300-SZPC-DEMO","3/4in Steel Pipe 30in Std Bronze PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746312",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.5875,Item,,,,,"","","","","","","","","","","","","T4W-SL","Tee_4-Way Std","Size","3/4 inch","Finish","Natural - No Coating","","","","","","",ACTIVE,"","Tee 4-Way_1/2in Blk PC_Std_Loose",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-300-SWPC-DEMO","3/4in Steel Pipe 30in Std White PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745896",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.5875,Item,,,,,"","","","","","","","","","","","","T4W-S001","Tee 4-Way_Boxed_Std","Size","3/4 inch","Finish","Black Powder Coat","","","","","","",ACTIVE,"","Tee 4-Way_1/2in Blk PC_Std_QTY 4",Yes,,0.0000,,"",Yes,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-040-HBPC-DEMO","3/4in Steel Pipe 4in Hvy Black PC","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-040-HNSB-DEMO","3/4in Steel Pipe 4in Hvy Nat SB","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-040-SBEP-DEMO","3/4in Steel Pipe 4in Std Black EP","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745384",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.2761,Item,,,,,"","","","","","","","","","","","","PIPE-SL","Pipe_Std","Size","1/2in x 24in","Finish","Natural- no coating","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-040-SZPC-DEMO","3/4in Steel Pipe 4in Std Bronze PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127746220",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.2761,Item,,,,,"","","","","","","","","","","","","PIPE-SL","Pipe_Std","Size","1/2in x 6in","Finish","Natural- no coating","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-040-SWPC-DEMO","3/4in Steel Pipe 4in Std White PC","Std Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,oz,in,"810127745803",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.2761,Item,,,,,"","","","","","","","","","","","","P0001","Pipe_Std_Boxed","Size","1/2in x 4in","Finish","Natural- no coating","","","","","","",ACTIVE,"","Pipe_1/2in_Blk Powder Coat_1.5in Length_QTY 6",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"P34-060-HBPC-DEMO","3/4in Steel Pipe 6in Hvy Black PC","Hvy Pipe Loose","Prim Pipeworks",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,in,"",0.0000,0.0000,Main Warehouse,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Item,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
